group	index	message_id	japanese	machine_english_reference	professional_translation	translator_notes	control_signature	english_cpu_pointer	english_bytes	japanese_symbols
00	0C	0x000C	<INSERT_B>が よみがえった<WAIT_INPUT>	"<INSERT_B>
came back to life!<WAIT_INPUT>"			INSERT_B NEWLINE WAIT_INPUT END	EA:0E01	CA C8 63 61 6D 65 01 62 61 63 6B 01 74 6F 01 6C 69 66 65 21 C9 C0	1CA 084 015 001 035 02F 084 015 013 03E 01F 1C9 1C0
00	0D	0x000D	<INSERT_B>は よみがえらなかった<WAIT_INPUT>	"<INSERT_B>
could not be revived.<WAIT_INPUT>"			INSERT_B NEWLINE WAIT_INPUT END	EA:0E17	CA C8 63 6F 75 6C 64 01 6E 6F 74 01 62 65 01 72 65 76 69 76 65 64 2E C9 C0	1CA 029 001 035 02F 084 015 013 036 024 015 03E 01F 1C9 1C0
00	0E	0x000E	<INSERT_B>の ちからが <NUMBER>ふえた<WAIT_INPUT>	"<INSERT_B>'s
Power rose by <NUMBER>.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0E30	CA 27 73 C8 50 6F 77 65 72 01 72 6F 73 65 01 62 79 01 C2 2E C9 C0	1CA 028 001 020 015 036 084 015 001 1C2 02B 013 01F 1C9 1C0
00	0F	0x000F	<INSERT_B>の きびんさが <NUMBER>ふえた<WAIT_INPUT>	"<INSERT_B>'s
Agility rose by <NUMBER>.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0E46	CA 27 73 C8 41 67 69 6C 69 74 79 01 72 6F 73 65 01 62 79 01 C2 2E C9 C0	1CA 028 001 016 084 02A 03D 01A 084 015 001 1C2 02B 013 01F 1C9 1C0
00	10	0x0010	<INSERT_B>の LPの最大値が <NUMBER>ふえた<WAIT_INPUT>	"<INSERT_B>'s
max LP rose by <NUMBER>.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0E5E	CA 27 73 C8 6D 61 78 01 4C 50 01 72 6F 73 65 01 62 79 01 C2 2E C9 C0	1CA 028 001 00C 00E 028 18A 0AC 199 084 015 001 1C2 02B 013 01F 1C9 1C0
00	11	0x0011	<INSERT_B>の SPの最大値が <NUMBER>ふえた<WAIT_INPUT>	"<INSERT_B>'s
max SP rose by <NUMBER>.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0E75	CA 27 73 C8 6D 61 78 01 53 50 01 72 6F 73 65 01 62 79 01 C2 2E C9 C0	1CA 028 001 00D 00E 028 18A 0AC 199 084 015 001 1C2 02B 013 01F 1C9 1C0
00	12	0x0012	<INSERT_B>は <INSERT_A>を使った<WAIT_INPUT>	"<INSERT_B>
used <INSERT_A>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_A WAIT_INPUT END	EA:0E8C	CA C8 75 73 65 64 01 C4 2E C9 C0	1CA 029 001 1C4 03C 123 03E 01F 1C9 1C0
00	13	0x0013	<INSERT_B>は <INSERT_B>をかけた<WAIT_INPUT>	"<INSERT_B> cast
<INSERT_B>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_B WAIT_INPUT END	EA:0E97	CA 01 63 61 73 74 C8 CA 2E C9 C0	1CA 029 001 1CA 03C 015 018 01F 1C9 1C0
00	14	0x0014	<NOP><WAIT>	<NOP><WAIT>			NOP WAIT END	EA:0EA2	C1 C5 C0	1C1 1C5 1C0
00	15	0x0015	<NOP><WAIT_INPUT>	<NOP><WAIT_INPUT>			NOP WAIT_INPUT END	EA:0EA5	C1 C9 C0	1C1 1C9 1C0
00	16	0x0016	<INSERT_B>は <INSERT_B>をかけた	"<INSERT_B> cast
<INSERT_B>."			INSERT_B NEWLINE INSERT_B END	EA:0EA8	CA 01 63 61 73 74 C8 CA 2E C0	1CA 029 001 1CA 03C 015 018 01F 1C0
00	17	0x0017	<INSERT_B>の LPが<NUMBER>回復した	"<INSERT_B>
recovered <NUMBER> LP."			INSERT_B NEWLINE NUMBER END	EA:0EB2	CA C8 72 65 63 6F 76 65 72 65 64 01 C2 01 4C 50 2E C0	1CA 028 001 00C 00E 084 015 1C2 169 18B 01B 01F 1C0
00	18	0x0018	たからばこは <INSERT_B>だった!<WAIT_INPUT>	"The treasure chest was
<INSERT_B>!<WAIT_INPUT>"			NEWLINE INSERT_B WAIT_INPUT END	EA:0EC4	54 68 65 01 74 72 65 61 73 75 72 65 01 63 68 65 73 74 01 77 61 73 C8 CA 21 C9 C0	01F 015 036 084 029 019 029 001 1CA 084 01F 03E 01F 07A 1C9 1C0
00	19	0x0019	SPが たりない<WAIT_INPUT>	Not enough SP.<WAIT_INPUT>			WAIT_INPUT END	EA:0EDF	4E 6F 74 01 65 6E 6F 75 67 68 01 53 50 2E C9 C0	00D 00E 084 015 001 01F 037 024 011 1C9 1C0
00	1A	0x001A	その 方向には おけない<WAIT_INPUT>	Can't place it that way.<WAIT_INPUT>			WAIT_INPUT END	EA:0EEF	43 61 6E 27 74 01 70 6C 61 63 65 01 69 74 01 74 68 61 74 01 77 61 79 2E C9 C0	01E 028 001 0B9 1AB 025 029 001 014 018 024 011 1C9 1C0
00	1B	0x001B	"<INSERT_B>は <INSERT_A>を
<INSERT_B>にわたした<WAIT_INPUT>"	"<INSERT_B>
gave <INSERT_A> to
<INSERT_B>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_A NEWLINE INSERT_B WAIT_INPUT END	EA:0F09	CA C8 67 61 76 65 01 C4 01 74 6F C8 CA 2E C9 C0	1CA 029 001 1C4 03C 1C8 1CA 025 03B 01F 01B 01F 1C9 1C0
00	1C	0x001C	"<INSERT_B>は
気がかわったので やめた<WAIT_INPUT>"	"<INSERT_B> thought
better of it and stopped.<WAIT_INPUT>"			INSERT_B NEWLINE WAIT_INPUT END	EA:0F19	CA 01 74 68 6F 75 67 68 74 C8 62 65 74 74 65 72 01 6F 66 01 69 74 01 61 6E 64 01 73 74 6F 70 70 65 64 2E C9 C0	1CA 029 1C8 099 084 015 015 03B 03E 01F 028 084 022 001 033 031 01F 1C9 1C0
00	1D	0x001D	"<INSERT_B>は
<INSERT_A>を すてた<WAIT_INPUT>"	"<INSERT_B> threw
away <INSERT_A>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_A WAIT_INPUT END	EA:0F3E	CA 01 74 68 72 65 77 C8 61 77 61 79 01 C4 2E C9 C0	1CA 029 1C8 1C4 03C 001 01C 022 01F 1C9 1C0
00	1E	0x001E	<INSERT_B>は <INSERT_A>を 読んだ<WAIT>	"<INSERT_B>
read <INSERT_A>.<WAIT>"			INSERT_B NEWLINE INSERT_A WAIT END	EA:0F4F	CA C8 72 65 61 64 01 C4 2E C5 C0	1CA 029 001 1C4 03C 001 118 03D 084 01F 1C5 1C0
00	1F	0x001F	"レディは <NUMBER>エンドルを
手に入れた"	Lady got <NUMBER> Endol.			NUMBER END	EA:0F5A	4C 61 64 79 01 67 6F 74 01 C2 01 45 6E 64 6F 6C 2E C0	06B 084 054 075 029 001 1C2 045 06F 084 055 06A 03C 1C8 177 025 08E 039 01F 1C0
00	20	0x0020	"<INSERT_B>の 毒が
ちゅうわされた<WAIT_INPUT>"	"<INSERT_B>'s
poison was cured.<WAIT_INPUT>"			INSERT_B NEWLINE WAIT_INPUT END	EA:0F6C	CA 27 73 C8 70 6F 69 73 6F 6E 01 77 61 73 01 63 75 72 65 64 2E C9 C0	1CA 028 001 137 084 015 1C8 020 040 012 03B 01A 039 01F 1C9 1C0
00	21	0x0021	<INSERT_B>は <INSERT_A>を使った	"<INSERT_B>
used <INSERT_A>."			INSERT_B NEWLINE INSERT_A END	EA:0F83	CA C8 75 73 65 64 01 C4 2E C0	1CA 029 001 1C4 03C 123 03E 01F 1C0
00	22	0x0022	<NOP><PAUSE_30>	<NOP><PAUSE_30>			NOP PAUSE_30 END	EA:0F8D	C1 CD C0	1C1 1CD 1C0
00	23	0x0023	"探険日記の <NUMBER>巻を
けしても いいですか?"	"Delete Explorer's Journal
volume <NUMBER>?"			NEWLINE NUMBER END	EA:0F90	44 65 6C 65 74 65 01 45 78 70 6C 6F 72 65 72 27 73 01 4A 6F 75 72 6E 61 6C C8 76 6F 6C 75 6D 65 01 C2 3F C0	184 0BB 120 11B 028 001 1C2 188 03C 1C8 018 01B 022 032 001 011 011 084 022 01C 015 079 1C0
00	24	0x0024	"探険日記の <NUMBER>巻が
きえてしまいました"	"Explorer's Journal volume
<NUMBER> was deleted."			NEWLINE NUMBER END	EA:0FB4	45 78 70 6C 6F 72 65 72 27 73 01 4A 6F 75 72 6E 61 6C 01 76 6F 6C 75 6D 65 C8 C2 01 77 61 73 01 64 65 6C 65 74 65 64 2E C0	184 0BB 120 11B 028 001 1C2 188 084 015 1C8 016 013 022 01B 02E 011 02E 01B 01F 1C0
00	25	0x0025	"何ごとも なかったように
しずまりかえっている<WAIT_INPUT>"	"Everything has gone still,
as if nothing happened.<WAIT_INPUT>"			NEWLINE WAIT_INPUT END	EA:0FDD	45 76 65 72 79 74 68 69 6E 67 01 68 61 73 01 67 6F 6E 65 01 73 74 69 6C 6C 2C C8 61 73 01 69 66 01 6E 6F 74 68 69 6E 67 01 68 61 70 70 65 6E 65 64 2E C9 C0	093 084 019 023 032 001 024 015 03E 01F 035 012 025 1C8 01B 084 01C 02E 037 015 013 03E 022 011 038 1C9 1C0
00	26	0x0026	<INSERT_A>は くだけた<WAIT_INPUT>	<INSERT_A> shattered.<WAIT_INPUT>			INSERT_A WAIT_INPUT END	EA:1011	C4 01 73 68 61 74 74 65 72 65 64 2E C9 C0	1C4 029 001 017 084 01F 018 01F 1C9 1C0
00	27	0x0027	死人は 道具を 使えません<WAIT_INPUT>	The dead can't use items.<WAIT_INPUT>			WAIT_INPUT END	EA:101F	54 68 65 01 64 65 61 64 01 63 61 6E 27 74 01 75 73 65 01 69 74 65 6D 73 2E C9 C0	0D6 091 029 001 0C7 124 03C 001 123 013 02E 01D 03D 1C9 1C0
00	28	0x0028	"レディは <INSERT_A>を
<INSERT_B>の にもつから
<INSERT_B>のにもつにうつした<WAIT_INPUT>"	"Lady moved <INSERT_A>
from <INSERT_B>
to <INSERT_B>.<WAIT_INPUT>"			INSERT_A NEWLINE INSERT_B NEWLINE INSERT_B WAIT_INPUT END	EA:103A	4C 61 64 79 01 6D 6F 76 65 64 01 C4 C8 66 72 6F 6D 01 CA C8 74 6F 01 CA 2E C9 C0	06B 084 054 075 029 001 1C4 03C 1C8 1CA 028 001 025 032 021 015 036 1C8 1CA 028 025 032 021 025 012 021 01B 01F 1C9 1C0
00	29	0x0029	<INSERT_A>は すてられない<WAIT_INPUT>	"<INSERT_A>
can't be discarded.<WAIT_INPUT>"			INSERT_A NEWLINE WAIT_INPUT END	EA:1055	C4 C8 63 61 6E 27 74 01 62 65 01 64 69 73 63 61 72 64 65 64 2E C9 C0	1C4 029 001 01C 022 036 039 024 011 1C9 1C0
00	2A	0x002A	<INSERT_A>を すてますか?	Discard <INSERT_A>?			INSERT_A END	EA:106C	44 69 73 63 61 72 64 01 C4 3F C0	1C4 03C 001 01C 022 02E 01C 015 079 1C0
00	2B	0x002B	"レディは
<INSERT_B>のにもつから
<INSERT_A>を取り出して すてた<WAIT_INPUT>"	"<INSERT_B>'s inventory:
Lady took out <INSERT_A>
and threw it away.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_A NEWLINE WAIT_INPUT END	EA:1077	CA 27 73 01 69 6E 76 65 6E 74 6F 72 79 3A C8 4C 61 64 79 01 74 6F 6F 6B 01 6F 75 74 01 C4 C8 61 6E 64 01 74 68 72 65 77 01 69 74 01 61 77 61 79 2E C9 C0	06B 084 054 075 029 1C8 1CA 028 025 032 021 015 036 1C8 1C4 03C 0FB 037 106 01B 022 001 01C 022 01F 1C9 1C0
00	2C	0x002C	"<INSERT_B>は
<INSERT_B>のにもつから
<INSERT_A>を取り出した<WAIT_INPUT>"	"<INSERT_B> took
from <INSERT_B>:
<INSERT_A>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_B NEWLINE INSERT_A WAIT_INPUT END	EA:10AA	CA 01 74 6F 6F 6B C8 66 72 6F 6D 01 CA 3A C8 C4 2E C9 C0	1CA 029 1C8 1CA 028 025 032 021 015 036 1C8 1C4 03C 0FB 037 106 01B 01F 1C9 1C0
00	2D	0x002D	"<INSERT_B>は
<INSERT_B>のにもつに
<INSERT_A>を入れた<WAIT_INPUT>"	"<INSERT_B> put
in <INSERT_B>'s
bag: <INSERT_A>.<WAIT_INPUT>"			INSERT_B NEWLINE INSERT_B NEWLINE INSERT_A WAIT_INPUT END	EA:10BD	CA 01 70 75 74 C8 69 6E 01 CA 27 73 C8 62 61 67 3A 01 C4 2E C9 C0	1CA 029 1C8 1CA 028 025 032 021 025 1C8 1C4 03C 08E 039 01F 1C9 1C0
00	2E	0x002E	レディは ひとりでさくせんをねった<WAIT_INPUT>	Lady planned her strategy alone.<WAIT_INPUT>			WAIT_INPUT END	EA:10D3	4C 61 64 79 01 70 6C 61 6E 6E 65 64 01 68 65 72 01 73 74 72 61 74 65 67 79 01 61 6C 6F 6E 65 2E C9 C0	06B 084 054 075 029 001 02A 023 037 084 022 01A 017 01D 03D 03C 027 03E 01F 1C9 1C0
00	2F	0x002F	ルーラできる できる できる	Zoom works! Works! Works!			END	EA:10F5	5A 6F 6F 6D 01 77 6F 72 6B 73 21 01 57 6F 72 6B 73 21 01 57 6F 72 6B 73 21 C0	06A 078 068 084 022 016 038 001 084 022 016 038 001 084 022 016 038 1C0
00	30	0x0030	ルーラできない できない できない	Zoom won't work! Won't! Won't!			END	EA:110F	5A 6F 6F 6D 01 77 6F 6E 27 74 01 77 6F 72 6B 21 01 57 6F 6E 27 74 21 01 57 6F 6E 27 74 21 C0	06A 078 068 084 022 016 024 011 001 084 022 016 024 011 001 084 022 016 024 011 1C0
00	31	0x0031	リレミトできる できる できる<WAIT_INPUT>	Evac works! Works! Works!<WAIT_INPUT>			WAIT_INPUT END	EA:112E	45 76 61 63 01 77 6F 72 6B 73 21 01 57 6F 72 6B 73 21 01 57 6F 72 6B 73 21 C9 C0	069 06B 061 055 084 022 016 038 001 084 022 016 038 001 084 022 016 038 1C9 1C0
00	32	0x0032	リレミトできない できない できない<WAIT_INPUT>	Evac won't work! Won't! Won't!<WAIT_INPUT>			WAIT_INPUT END	EA:1149	45 76 61 63 01 77 6F 6E 27 74 01 77 6F 72 6B 21 01 57 6F 6E 27 74 21 01 57 6F 6E 27 74 21 C9 C0	069 06B 061 055 084 022 016 024 011 001 084 022 016 024 011 001 084 022 016 024 011 1C9 1C0
00	33	0x0033	呪いで 魔術が 使えない<WAIT_INPUT>	A curse prevents magic.<WAIT_INPUT>			WAIT_INPUT END	EA:1169	41 01 63 75 72 73 65 01 70 72 65 76 65 6E 74 73 01 6D 61 67 69 63 2E C9 C0	12D 011 084 022 001 09A 16A 084 015 001 123 013 024 011 1C9 1C0
00	34	0x0034	"<INSERT_B>は
呪われてしまった!"	"<INSERT_B>
was cursed!"			INSERT_B NEWLINE END	EA:1182	CA C8 77 61 73 01 63 75 72 73 65 64 21 C0	1CA 029 1C8 12D 03B 039 022 01B 02E 03E 01F 07A 1C0
00	35	0x0035	"<INSERT_A>は
呪いで 体から はなれない<WAIT_INPUT>"	"<INSERT_A> is cursed
and won't come off.<WAIT_INPUT>"			INSERT_A NEWLINE WAIT_INPUT END	EA:1190	C4 01 69 73 01 63 75 72 73 65 64 C8 61 6E 64 01 77 6F 6E 27 74 01 63 6F 6D 65 01 6F 66 66 2E C9 C0	1C4 029 1C8 12D 011 084 022 001 0F0 015 036 001 029 024 039 024 011 1C9 1C0
00	36	0x0036	"レディは <INSERT_B>の にもつから
<INSERT_A>を とりだすのを
やめた<WAIT_INPUT>"	"Lady stopped rummaging
in <INSERT_B>'s
inventory for <INSERT_A>.<WAIT_INPUT>"			NEWLINE INSERT_B NEWLINE INSERT_A WAIT_INPUT END	EA:11B1	4C 61 64 79 01 73 74 6F 70 70 65 64 01 72 75 6D 6D 61 67 69 6E 67 C8 69 6E 01 CA 27 73 C8 69 6E 76 65 6E 74 6F 72 79 01 66 6F 72 01 C4 2E C9 C0	06B 084 054 075 029 001 1CA 028 001 025 032 021 015 036 1C8 1C4 03C 001 023 037 084 01F 01C 028 03C 1C8 033 031 01F 1C9 1C0
00	37	0x0037	<INSERT_B>は <INSERT_A>を見た<PAUSE_30>	"<INSERT_B>
examined <INSERT_A>.<PAUSE_30>"			INSERT_B NEWLINE INSERT_A PAUSE_30 END	EA:11E1	CA C8 65 78 61 6D 69 6E 65 64 01 C4 2E CD C0	1CA 029 001 1C4 03C 090 01F 1CD 1C0
00	38	0x0038	"まかいのにくを まくと
えたいのしれない ものが
どこからか よってきた<WAIT_INPUT>"	"When the Demon Meat was
scattered, something unidentifiable
came creeping in from somewhere.<WAIT_INPUT>"			NEWLINE NEWLINE WAIT_INPUT END	EA:11F0	57 68 65 6E 01 74 68 65 01 44 65 6D 6F 6E 01 4D 65 61 74 01 77 61 73 C8 73 63 61 74 74 65 72 65 64 2C 01 73 6F 6D 65 74 68 69 6E 67 01 75 6E 69 64 65 6E 74 69 66 69 61 62 6C 65 C8 63 61 6D 65 01 63 72 65 65 70 69 6E 67 01 69 6E 01 66 72 6F 6D 01 73 6F 6D 65 77 68 65 72 65 2E C9 C0	02E 015 011 028 025 017 03C 001 02E 017 023 1C8 013 01F 011 028 01B 039 024 011 001 032 028 084 015 1C8 084 023 019 015 036 015 001 035 03E 022 016 01F 1C9 1C0
00	39	0x0039	<NUMBER>時間	<NUMBER>hours			NUMBER END	EA:124E	C2 68 6F 75 72 73 C0	1C2 164 0E3 1C0
00	3A	0x003A	<NOP><NUMBER>分	<NOP><NUMBER>minutes			NOP NUMBER END	EA:1255	C1 C2 6D 69 6E 75 74 65 73 C0	1C1 1C2 16C 1C0
00	3B	0x003B	<NOP><NUMBER>びょうです<WAIT_INPUT>	<NOP><NUMBER>seconds.<WAIT_INPUT>			NOP NUMBER WAIT_INPUT END	EA:125F	C1 C2 73 65 63 6F 6E 64 73 2E C9 C0	1C1 1C2 084 02A 041 012 084 022 01C 1C9 1C0
00	3C	0x003C	あなたのプレイ時間は	Your play time is<LINE>			LINE END	EA:126B	59 6F 75 72 01 70 6C 61 79 01 74 69 6D 65 01 69 73 C3 C0	010 024 01F 028 083 05D 06B 043 164 0E3 029 1C3 1C0
00	3D	0x003D	いいかおり<WAIT_INPUT>	Smells nice.<WAIT_INPUT>			WAIT_INPUT END	EA:127E	53 6D 65 6C 6C 73 01 6E 69 63 65 2E C9 C0	011 011 015 014 037 1C9 1C0
00	3E	0x003E	"「なんじ この レバーを 行かせ
と 書いてある<WAIT>"	"It says, ""Move this lever.""<WAIT>"			WAIT END	EA:128C	49 74 01 73 61 79 73 2C 01 22 4D 6F 76 65 01 74 68 69 73 01 6C 65 76 65 72 2E 22 C5 C0	07D 024 03D 084 01B 001 019 028 001 06B 084 05B 078 03C 001 0B1 015 01D 1C8 023 001 098 011 022 010 038 1C5 1C0
00	3F	0x003F	"「このレバーですよ
と 書いてある<WAIT>"	"It says, ""This is the lever.""<WAIT>"			WAIT END	EA:12A9	49 74 01 73 61 79 73 2C 01 22 54 68 69 73 01 69 73 01 74 68 65 01 6C 65 76 65 72 2E 22 C5 C0	07D 019 028 06B 084 05B 078 084 022 01C 035 1C8 023 001 098 011 022 010 038 1C5 1C0
00	40	0x0040	レバーを 行かしますか?	Move the lever?<LINE>			LINE END	EA:12C8	4D 6F 76 65 01 74 68 65 01 6C 65 76 65 72 3F C3 C0	06B 084 05B 078 03C 001 0B1 015 01B 02E 01C 015 079 1C3 1C0
00	41	0x0041	"「使用 ふのう
と 書いてある<WAIT_INPUT>"	"It says, ""Out of order.""<WAIT_INPUT>"			WAIT_INPUT END	EA:12D9	49 74 01 73 61 79 73 2C 01 22 4F 75 74 01 6F 66 01 6F 72 64 65 72 2E 22 C9 C0	07D 123 112 001 02B 028 012 1C8 023 001 098 011 022 010 038 1C9 1C0
00	42	0x0042	"「きけん 行かすな
と 書いてある<WAIT>"	"It says, ""DANGER:
DO NOT MOVE.""<WAIT>"			NEWLINE WAIT END	EA:12F3	49 74 01 73 61 79 73 2C 01 22 44 41 4E 47 45 52 3A C8 44 4F 01 4E 4F 54 01 4D 4F 56 45 2E 22 C5 C0	07D 016 018 03D 001 0B1 015 01C 024 1C8 023 001 098 011 022 010 038 1C5 1C0
00	43	0x0043	<INSERT_B>は<NUMBER>のダメージ	"<INSERT_B>
takes <NUMBER> damage."			INSERT_B NEWLINE NUMBER END	EA:1314	CA C8 74 61 6B 65 73 01 C2 01 64 61 6D 61 67 65 2E C0	1CA 029 1C2 028 084 051 063 078 084 04D 1C0
00	44	0x0044	<INSERT_B>は まぐれで だいダメージをあたえた	"<INSERT_B>
lands a lucky critical hit!"			INSERT_B NEWLINE END	EA:1326	CA C8 6C 61 6E 64 73 01 61 01 6C 75 63 6B 79 01 63 72 69 74 69 63 61 6C 01 68 69 74 21 C0	1CA 029 001 02E 084 017 039 084 022 001 084 01F 011 084 051 063 078 084 04D 03C 010 01F 013 01F 1C0
00	45	0x0045	<INSERT_B>は ゆだんたいてき だいダメージをうけた	"<INSERT_B>
was caught off guard
and took heavy damage!"			INSERT_B NEWLINE NEWLINE END	EA:1344	CA C8 77 61 73 01 63 61 75 67 68 74 01 6F 66 66 01 67 75 61 72 64 C8 61 6E 64 01 74 6F 6F 6B 01 68 65 61 76 79 01 64 61 6D 61 67 65 21 C0	1CA 029 001 034 084 01F 03D 01F 011 022 016 001 084 01F 011 084 051 063 078 084 04D 03C 012 018 01F 1C0
00	46	0x0046	<INSERT_B>は たすけをよんだ	"<INSERT_B>
called for help."			INSERT_B NEWLINE END	EA:1372	CA C8 63 61 6C 6C 65 64 01 66 6F 72 01 68 65 6C 70 2E C0	1CA 029 001 01F 01C 018 03C 035 03D 084 01F 1C0
00	47	0x0047	<INSERT_B>は たいきゃくした	<INSERT_B> retreated.			INSERT_B END	EA:1385	CA 01 72 65 74 72 65 61 74 65 64 2E C0	1CA 029 001 01F 011 016 03F 017 01B 01F 1C0
00	48	0x0048	<INSERT_B>は <INSERT_A>を つかった	"<INSERT_B>
used <INSERT_A>."			INSERT_B NEWLINE INSERT_A END	EA:1392	CA C8 75 73 65 64 01 C4 2E C0	1CA 029 001 1C4 03C 001 021 015 03E 01F 1C0
00	49	0x0049	<INSERT_B>は <INSERT_B>を かけた	"<INSERT_B> cast
<INSERT_B>."			INSERT_B NEWLINE INSERT_B END	EA:139C	CA 01 63 61 73 74 C8 CA 2E C0	1CA 029 001 1CA 03C 001 015 018 01F 1C0
00	4A	0x004A	しかし SPぶそくで となえられない	"But there isn't
enough SP to cast it."			NEWLINE END	EA:13A6	42 75 74 01 74 68 65 72 65 01 69 73 6E 27 74 C8 65 6E 6F 75 67 68 01 53 50 01 74 6F 01 63 61 73 74 01 69 74 2E C0	01B 015 01B 001 00D 00E 084 02B 01E 017 084 022 001 023 024 013 036 039 024 011 1C0
00	4B	0x004B	<INSERT_B>は おちてしまった	<INSERT_B> fell.			INSERT_B END	EA:13CC	CA 01 66 65 6C 6C 2E C0	1CA 029 001 014 020 022 01B 02E 03E 01F 1C0
